IODP371: Numerical solution for depth/TWT  (depth in metres below seafloor, two-way-time in seconds)
borehole	twt_bsf_to_depth_convertion
U1506	depth(bsf)=120.53*twt2+846.37*twt
U1507	depth(bsf)=294.43*twt2+822.34*twt
U1508	depth(bsf)=294.39*twt2+750.28*twt
U1509	depth(bsf)=105.56*twt2+876.66*twt
U1510	depth(bsf)=63.51*twt2+876.20*twt
U1511	depth(bsf)=92.949*twt2+763.45*twt



Numerical solution for depth/TWT  (depth in metres below seafloor, two-way-time in seconds)						
						
TWT	Depth_U1506	Depth_U1507	Depth_U1508	Depth_U1509	Depth_U1510	Depth_U1511
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0050	4.2349	4.1191	3.7588	4.3859	4.3826	3.8196
0.0100	8.4758	8.2528	7.5322	8.7772	8.7684	7.6438
0.0150	12.7227	12.4013	11.3204	13.1737	13.1573	11.4727
0.0200	16.9756	16.5646	15.1234	17.5754	17.5494	15.3062
0.0250	21.2346	20.7425	18.9410	21.9825	21.9447	19.1443
0.0300	25.4996	24.9352	22.7734	26.3948	26.3432	22.9872
0.0350	29.7706	29.1426	26.6204	30.8124	30.7448	26.8346
0.0400	34.0476	33.3647	30.4822	35.2353	35.1496	30.6867
0.0450	38.3307	37.6015	34.3587	39.6635	39.5576	34.5435
0.0500	42.6198	41.8531	38.2500	44.0969	43.9688	38.4049
0.0550	46.9150	46.1194	42.1559	48.5356	48.3831	42.2709
0.0600	51.2161	50.4003	46.0766	52.9796	52.8006	46.1416
0.0650	55.5233	54.6961	50.0120	57.4289	57.2213	50.0170
0.0700	59.8365	59.0065	53.9621	61.8834	61.6452	53.8970
0.0750	64.1557	63.3317	57.9269	66.3433	66.0722	57.7816
0.0800	68.4810	67.6716	61.9065	70.8084	70.5025	61.6709
0.0850	72.8123	72.0262	65.9008	75.2788	74.9359	65.5648
0.0900	77.1496	76.3955	69.9098	79.7544	79.3724	69.4634
0.0950	81.4929	80.7795	73.9335	84.2354	83.8122	73.3666
0.1000	85.8423	85.1783	77.9719	88.7216	88.2551	77.2745
0.1050	90.1977	89.5918	82.0250	93.2131	92.7012	81.1870
0.1100	94.5591	94.0200	86.0929	97.7099	97.1505	85.1042
0.1150	98.9266	98.4629	90.1755	102.2119	101.6029	89.0260
0.1200	103.3000	102.9206	94.2728	106.7193	106.0585	92.9525
0.1250	107.6795	107.3930	98.3848	111.2319	110.5173	96.8836
0.1300	112.0651	111.8801	102.5116	115.7498	114.9793	100.8193
0.1350	116.4566	116.3819	106.6531	120.2729	119.4445	104.7597
0.1400	120.8542	120.8984	110.8092	124.8014	123.9128	108.7048
0.1450	125.2578	125.4297	114.9801	129.3351	128.3843	112.6545
0.1500	129.6674	129.9757	119.1658	133.8741	132.8590	116.6089
0.1550	134.0831	134.5364	123.3661	138.4184	137.3368	120.5678
0.1600	138.5048	139.1118	127.5812	142.9679	141.8179	124.5315
0.1650	142.9325	143.7020	131.8110	147.5228	146.3021	128.4998
0.1700	147.3662	148.3068	136.0555	152.0829	150.7894	132.4727
0.1750	151.8060	152.9264	140.3147	156.6483	155.2800	136.4503
0.1800	156.2518	157.5607	144.5886	161.2189	159.7737	140.4325
0.1850	160.7036	162.2098	148.8773	165.7949	164.2706	144.4194
0.1900	165.1614	166.8735	153.1807	170.3761	168.7707	148.4110
0.1950	169.6253	171.5520	157.4988	174.9626	173.2740	152.4071
0.2000	174.0952	176.2452	161.8316	179.5544	177.7804	156.4080
0.2050	178.5711	180.9531	166.1791	184.1515	182.2900	160.4134
0.2100	183.0531	185.6758	170.5414	188.7538	186.8028	164.4236
0.2150	187.5410	190.4131	174.9184	193.3614	191.3187	168.4383
0.2200	192.0351	195.1652	179.3101	197.9743	195.8379	172.4577
0.2250	196.5351	199.9320	183.7165	202.5925	200.3602	176.4818
0.2300	201.0411	204.7135	188.1376	207.2159	204.8857	180.5105
0.2350	205.5532	209.5098	192.5735	211.8447	209.4143	184.5439
0.2400	210.0713	214.3208	197.0241	216.4787	213.9462	188.5819
0.2450	214.5955	219.1465	201.4894	221.1179	218.4812	192.6245
0.2500	219.1256	223.9869	205.9694	225.7625	223.0194	196.6718
0.2550	223.6618	228.8420	210.4641	230.4123	227.5607	200.7238
0.2600	228.2040	233.7119	214.9736	235.0675	232.1053	204.7804
0.2650	232.7523	238.5964	219.4977	239.7279	236.6530	208.8416
0.2700	237.3065	243.4957	224.0366	244.3935	241.2039	212.9075
0.2750	241.8668	248.4098	228.5902	249.0645	245.7579	216.9780
0.2800	246.4332	253.3385	233.1586	253.7407	250.3152	221.0532
0.2850	251.0055	258.2820	237.7416	258.4222	254.8756	225.1330
0.2900	255.5839	263.2402	242.3394	263.1090	259.4392	229.2175
0.2950	260.1683	268.2131	246.9519	267.8011	264.0060	233.3066
0.3000	264.7587	273.2007	251.5791	272.4984	268.5759	237.4004
0.3050	269.3552	278.2031	256.2210	277.2010	273.1490	241.4988
0.3100	273.9576	283.2201	260.8777	281.9089	277.7253	245.6019
0.3150	278.5661	288.2519	265.5490	286.6221	282.3048	249.7096
0.3200	283.1807	293.2984	270.2351	291.3405	286.8874	253.8220
0.3250	287.8012	298.3597	274.9359	296.0643	291.4732	257.9390
0.3300	292.4278	303.4356	279.6515	300.7933	296.0622	262.0606
0.3350	297.0604	308.5263	284.3817	305.5276	300.6544	266.1870
0.3400	301.6991	313.6317	289.1267	310.2671	305.2498	270.3179
0.3450	306.3437	318.7518	293.8864	315.0120	309.8483	274.4535
0.3500	310.9944	323.8867	298.6608	319.7621	314.4500	278.5938
0.3550	315.6511	329.0362	303.4499	324.5175	319.0548	282.7386
0.3600	320.3139	334.2005	308.2537	329.2782	323.6629	286.8882
0.3650	324.9827	339.3795	313.0723	334.0441	328.2741	291.0424
0.3700	329.6575	344.5733	317.9056	338.8154	332.8885	295.2012
0.3750	334.3383	349.7817	322.7536	343.5919	337.5061	299.3647
0.3800	339.0251	355.0049	327.6163	348.3737	342.1268	303.5328
0.3850	343.7180	360.2428	332.4938	353.1607	346.7508	307.7056
0.3900	348.4169	365.4954	337.3859	357.9531	351.3779	311.8830
0.3950	353.1218	370.7627	342.2928	362.7507	356.0081	316.0651
0.4000	357.8328	376.0448	347.2144	367.5536	360.6416	320.2518
0.4050	362.5498	381.3416	352.1507	372.3618	365.2782	324.4432
0.4100	367.2728	386.6531	357.1018	377.1752	369.9180	328.6392
0.4150	372.0018	391.9793	362.0675	381.9940	374.5610	332.8399
0.4200	376.7369	397.3203	367.0480	386.8180	379.2072	337.0452
0.4250	381.4780	402.6759	372.0432	391.6473	383.8565	341.2552
0.4300	386.2251	408.0463	377.0531	396.4818	388.5090	345.4698
0.4350	390.9782	413.4314	382.0777	401.3217	393.1647	349.6890
0.4400	395.7374	418.8312	387.1171	406.1668	397.8235	353.9129
0.4450	400.5026	424.2458	392.1712	411.0172	402.4856	358.1415
0.4500	405.2738	429.6751	397.2400	415.8729	407.1508	362.3747
0.4550	410.0511	435.1191	402.3235	420.7339	411.8192	366.6125
0.4600	414.8343	440.5778	407.4217	425.6001	416.4907	370.8550
0.4650	419.6236	446.0512	412.5347	430.4716	421.1654	375.1021
0.4700	424.4190	451.5394	417.6624	435.3484	425.8434	379.3539
0.4750	429.2203	457.0423	422.8047	440.2305	430.5244	383.6104
0.4800	434.0277	462.5599	427.9619	445.1178	435.2087	387.8714
0.4850	438.8411	468.0922	433.1337	450.0105	439.8961	392.1372
0.4900	443.6606	473.6392	438.3202	454.9084	444.5868	396.4076
0.4950	448.4860	479.2010	443.5215	459.8115	449.2805	400.6826
0.5000	453.3175	484.7775	448.7375	464.7200	453.9775	404.9623
0.5050	458.1550	490.3687	453.9682	469.6337	458.6776	409.2466
0.5100	462.9986	495.9746	459.2136	474.5528	463.3810	413.5355
0.5150	467.8481	501.5953	464.4738	479.4771	468.0874	417.8291
0.5200	472.7037	507.2307	469.7487	484.4066	472.7971	422.1274
0.5250	477.5653	512.8808	475.0382	489.3415	477.5099	426.4303
0.5300	482.4330	518.5456	480.3426	494.2816	482.2260	430.7379
0.5350	487.3066	524.2251	485.6616	499.2270	486.9451	435.0501
0.5400	492.1863	529.9194	490.9953	504.1777	491.6675	439.3669
0.5450	497.0721	535.6284	496.3438	509.1337	496.3931	443.6884
0.5500	501.9638	541.3521	501.7070	514.0949	501.1218	448.0146
0.5550	506.8616	547.0905	507.0849	519.0614	505.8537	452.3454
0.5600	511.7654	552.8436	512.4775	524.0332	510.5887	456.6808
0.5650	516.6752	558.6115	517.8848	529.0103	515.3270	461.0209
0.5700	521.5911	564.3941	523.3069	533.9926	520.0684	465.3656
0.5750	526.5130	570.1914	528.7437	538.9803	524.8130	469.7150
0.5800	531.4409	576.0035	534.1952	543.9732	529.5608	474.0690
0.5850	536.3748	581.8302	539.6614	548.9714	534.3117	478.4277
0.5900	541.3148	587.6717	545.1424	553.9748	539.0658	482.7910
0.5950	546.2608	593.5279	550.6380	558.9836	543.8231	487.1590
0.6000	551.2128	599.3988	556.1484	563.9976	548.5836	491.5316
0.6050	556.1708	605.2844	561.6735	569.0169	553.3472	495.9089
0.6100	561.1349	611.1848	567.2133	574.0415	558.1141	500.2908
0.6150	566.1050	617.0999	572.7679	579.0713	562.8841	504.6774
0.6200	571.0811	623.0297	578.3371	584.1065	567.6572	509.0686
0.6250	576.0633	628.9742	583.9211	589.1469	572.4336	513.4645
0.6300	581.0515	634.9335	589.5198	594.1926	577.2131	517.8650
0.6350	586.0457	640.9074	595.1332	599.2435	581.9958	522.2701
0.6400	591.0459	646.8961	600.7613	604.2998	586.7817	526.6799
0.6450	596.0521	652.8995	606.4042	609.3613	591.5707	531.0944
0.6500	601.0644	658.9177	612.0618	614.4281	596.3630	535.5135
0.6550	606.0827	664.9505	617.7341	619.5002	601.1584	539.9372
0.6600	611.1071	670.9981	623.4211	624.5775	605.9570	544.3656
0.6650	616.1374	677.0604	629.1228	629.6602	610.7587	548.7986
0.6700	621.1738	683.1374	634.8393	634.7481	615.5636	553.2363
0.6750	626.2162	689.2292	640.5704	639.8413	620.3717	557.6786
0.6800	631.2647	695.3356	646.3163	644.9397	625.1830	562.1256
0.6850	636.3191	701.4568	652.0769	650.0435	629.9975	566.5772
0.6900	641.3796	707.5927	657.8523	655.1525	634.8151	571.0335
0.6950	646.4462	713.7434	663.6423	660.2668	639.6359	575.4944
0.7000	651.5187	719.9087	669.4471	665.3864	644.4599	579.9600
0.7050	656.5973	726.0888	675.2666	670.5113	649.2871	584.4302
0.7100	661.6819	732.2836	681.1008	675.6414	654.1174	588.9051
0.7150	666.7725	738.4931	686.9497	680.7768	658.9509	593.3846
0.7200	671.8692	744.7173	692.8134	685.9175	663.7876	597.8688
0.7250	676.9718	750.9563	698.6917	691.0635	668.6274	602.3576
0.7300	682.0805	757.2099	704.5848	696.2147	673.4705	606.8510
0.7350	687.1953	763.4783	710.4926	701.3713	678.3167	611.3491
0.7400	692.3160	769.7615	716.4152	706.5331	683.1661	615.8519
0.7450	697.4428	776.0593	722.3524	711.7001	688.0186	620.3593
0.7500	702.5756	782.3719	728.3044	716.8725	692.8744	624.8713
0.7550	707.7145	788.6992	734.2711	722.0501	697.7333	629.3880
0.7600	712.8593	795.0412	740.2525	727.2331	702.5954	633.9093
0.7650	718.0102	801.3979	746.2486	732.4213	707.4606	638.4353
