# IODP371 site U1506 seismic and synthetic trace data
#Synthetic seismogram and seismic trace data.		
time_series_(ms)	synthetic_trace_data_(amplitude)	seismic_trace_data_(amplitude)
1900.0000	0.0188	0.0685
1901.0000	0.2019	0.0732
1902.0000	0.4099	0.0779
1903.0000	0.4500	0.0812
1904.0000	0.1530	0.0819
1905.0000	-0.5033	0.0803
1906.0000	-1.3991	0.0774
1907.0000	-2.3673	0.0716
1908.0000	-3.2443	0.0573
1909.0000	-3.8669	0.0272
1910.0000	-4.0663	-0.0150
1911.0000	-3.7301	-0.0569
1912.0000	-2.9258	-0.0810
1913.0000	-1.9047	-0.0765
1914.0000	-0.9145	-0.0488
1915.0000	-0.0606	-0.0166
1916.0000	0.6737	0.0000
1917.0000	1.3461	-0.0095
1918.0000	1.7396	-0.0430
1919.0000	1.7879	-0.0919
1920.0000	1.6003	-0.1403
1921.0000	1.3191	-0.1700
1922.0000	1.0388	-0.1710
1923.0000	0.8066	-0.1393
1924.0000	0.6407	-0.0786
1925.0000	0.5116	-0.0011
1926.0000	0.4357	0.0777
1927.0000	0.3953	0.1457
1928.0000	0.3633	0.1982
1929.0000	0.3198	0.2417
1930.0000	0.2576	0.2589
1931.0000	0.1833	0.2540
1932.0000	0.1117	0.2206
1933.0000	0.0566	0.1583
1934.0000	0.0191	0.0799
1935.0000	-0.0160	0.0070
1936.0000	-0.0757	-0.0404
1937.0000	-0.1879	-0.0533
1938.0000	-0.3690	-0.0378
1939.0000	-0.6102	-0.0135
1940.0000	-0.8749	0.0049
1941.0000	-1.1109	-0.0088
1942.0000	-1.2667	-0.0558
1943.0000	-1.3073	-0.1243
1944.0000	-1.2254	-0.2001
1945.0000	-1.0407	-0.2728
1946.0000	-0.7921	-0.3334
1947.0000	-0.5212	-0.3702
1948.0000	-0.2626	-0.3720
1949.0000	-0.0398	-0.3385
1950.0000	0.1363	-0.2806
1951.0000	0.2622	-0.2260
1952.0000	0.3389	-0.1888
1953.0000	0.3758	-0.1700
1954.0000	0.3971	-0.1610
1955.0000	0.4408	-0.1512
1956.0000	0.5450	-0.1287
1957.0000	0.7252	-0.0810
1958.0000	0.9532	0.0002
1959.0000	1.1532	0.1117
1960.0000	1.2238	0.2304
1961.0000	1.0838	0.3389
1962.0000	0.7187	0.4343
1963.0000	0.2034	0.5253
1964.0000	-0.3140	0.6100
1965.0000	-0.6675	0.6609
1966.0000	-0.7418	0.6460
1967.0000	-0.5137	0.5729
1968.0000	-0.0490	0.5058
1969.0000	0.5427	0.5182
1970.0000	1.1608	0.6487
1971.0000	1.7383	0.8244
1972.0000	2.2222	0.9513
1973.0000	2.5295	0.9952
1974.0000	2.5231	1.0083
1975.0000	2.0448	1.0569
1976.0000	1.0281	1.1204
1977.0000	-0.3930	1.0835
1978.0000	-1.8477	0.8420
1979.0000	-2.8314	0.4415
1980.0000	-2.9427	0.0710
1981.0000	-2.1495	-0.0886
1982.0000	-0.9515	-0.1008
1983.0000	-0.2943	-0.3744
1984.0000	-1.1766	-1.5314
1985.0000	-4.1071	-4.0705
1986.0000	-8.6655	-7.9718
1987.0000	-13.4141	-12.4593
1988.0000	-16.2680	-16.0682
1989.0000	-15.1675	-17.0581
1990.0000	-9.1798	-14.0739
1991.0000	0.9191	-6.7876
1992.0000	12.7566	3.6648
1993.0000	23.0639	14.8313
1994.0000	28.7980	23.8061
1995.0000	28.2383	28.2578
1996.0000	21.6136	27.1776
1997.0000	10.9932	21.0262
1998.0000	-0.5028	11.7380
1999.0000	-9.8199	1.8267
2000.0000	-14.8557	-6.4745
2001.0000	-15.1511	-11.8198
2002.0000	-11.8836	-13.9033
2003.0000	-7.1430	-13.2693
2004.0000	-2.9720	-10.9175
2005.0000	-0.6211	-7.8874
2006.0000	-0.2822	-4.9637
2007.0000	-1.2994	-2.5843
2008.0000	-2.6577	-0.8973
2009.0000	-3.4778	0.1311
2010.0000	-3.2933	0.6448
2011.0000	-2.1720	0.8403
2012.0000	-0.5696	0.8941
2013.0000	0.9732	0.8805
2014.0000	2.0736	0.7511
2015.0000	2.5957	0.4132
2016.0000	2.6008	-0.1420
2017.0000	2.2422	-0.7736
2018.0000	1.6759	-1.2445
2019.0000	1.0163	-1.3502
2020.0000	0.3681	-1.0217
2021.0000	-0.1776	-0.3315
2022.0000	-0.5379	0.5481
2023.0000	-0.6515	1.4289
2024.0000	-0.5054	2.1516
2025.0000	-0.1509	2.5919
2026.0000	0.3080	2.6691
2027.0000	0.7473	2.3721
2028.0000	1.0642	1.8102
2029.0000	1.2030	1.1693
2030.0000	1.1688	0.6377
2031.0000	1.0154	0.3338
2032.0000	0.8107	0.2596
2033.0000	0.6075	0.3069
2034.0000	0.4294	0.3065
2035.0000	0.2727	0.1140
2036.0000	0.1189	-0.3045
2037.0000	-0.0524	-0.8473
2038.0000	-0.2530	-1.3403
2039.0000	-0.4811	-1.6308
2040.0000	-0.7213	-1.6343
2041.0000	-0.9443	-1.2913
2042.0000	-1.1122	-0.6983
2043.0000	-1.1876	-0.0859
2044.0000	-1.1469	0.3682
2045.0000	-0.9844	0.5975
2046.0000	-0.7192	0.6202
2047.0000	-0.3915	0.4988
2048.0000	-0.0503	0.3020
2049.0000	0.2569	0.0969
2050.0000	0.4903	-0.0652
2051.0000	0.6190	-0.1759
2052.0000	0.6225	-0.2518
2053.0000	0.4903	-0.3110
2054.0000	0.2161	-0.3585
2055.0000	-0.1842	-0.3844
2056.0000	-0.6542	-0.3657
2057.0000	-1.0923	-0.2889
2058.0000	-1.3808	-0.1512
2059.0000	-1.4266	0.0351
2060.0000	-1.1914	0.2385
2061.0000	-0.6981	0.4118
2062.0000	-0.0180	0.5155
2063.0000	0.7475	0.5336
2064.0000	1.4851	0.4765
2065.0000	2.0771	0.3705
2066.0000	2.4408	0.2395
2067.0000	2.6907	0.1080
2068.0000	2.8573	-0.0128
2069.0000	2.9118	-0.1192
2070.0000	2.7540	-0.2057
2071.0000	2.2495	-0.2637
2072.0000	1.3255	-0.2851
2073.0000	0.0595	-0.2678
2074.0000	-1.4122	-0.2161
2075.0000	-2.9887	-0.1417
2076.0000	-4.4745	-0.0579
2077.0000	-5.6339	0.0233
2078.0000	-6.2806	0.0900
2079.0000	-6.3344	0.1286
2080.0000	-5.7943	0.1265
2081.0000	-4.6710	0.0748
