# IODP371 site U1507 seismic and synthetic trace data
time_series_(ms)	synthetic_trace_data_(amplitude)	seismic_trace_data_(amplitude)
4700.0000	1.9364	0.1967
4701.0000	1.9364	0.1827
4702.0000	1.9364	0.1170
4703.0000	2.0017	0.0363
4704.0000	1.7981	-0.0224
4705.0000	1.3816	-0.0431
4706.0000	0.8318	-0.0382
4707.0000	0.2438	-0.0354
4708.0000	-0.2834	-0.0507
4709.0000	-0.6597	-0.0777
4710.0000	-0.8190	-0.0732
4711.0000	-0.7321	-0.0101
4712.0000	-0.4147	0.1070
4713.0000	0.0716	0.2368
4714.0000	0.6278	0.3264
4715.0000	1.1347	0.3449
4716.0000	1.4760	0.2962
4717.0000	1.5629	0.2040
4718.0000	1.3562	0.0900
4719.0000	0.8778	-0.0373
4720.0000	0.2110	-0.1712
4721.0000	-0.5134	-0.2930
4722.0000	-1.1429	-0.3676
4723.0000	-1.5355	-0.3719
4724.0000	-1.5922	-0.3170
4725.0000	-1.2818	-0.2429
4726.0000	-0.6518	-0.1954
4727.0000	0.1778	-0.1888
4728.0000	1.0375	-0.1995
4729.0000	1.7457	-0.1929
4730.0000	2.1487	-0.1300
4731.0000	2.1572	-0.0228
4732.0000	1.7696	0.0902
4733.0000	1.0728	0.1624
4734.0000	0.2234	0.1666
4735.0000	-0.5907	0.1136
4736.0000	-1.1975	0.0526
4737.0000	-1.4847	0.0492
4738.0000	-1.4291	0.1434
4739.0000	-1.1023	0.3059
4740.0000	-0.6497	0.4381
4741.0000	-0.2476	0.4541
4742.0000	-0.0501	0.3621
4743.0000	-0.1389	0.2656
4744.0000	-0.4932	0.2787
4745.0000	-0.9894	0.4206
4746.0000	-1.4327	0.5868
4747.0000	-1.6141	0.6426
4748.0000	-1.3792	0.5494
4749.0000	-0.6866	0.3999
4750.0000	0.3602	0.3110
4751.0000	1.5222	0.3078
4752.0000	2.4752	0.2656
4753.0000	2.8917	0.0538
4754.0000	2.5352	-0.2927
4755.0000	1.3390	-0.5532
4756.0000	-0.5508	-0.5305
4757.0000	-2.7855	-0.3251
4758.0000	-4.8791	-0.3911
4759.0000	-6.3136	-1.2612
4760.0000	-6.6620	-3.0916
4761.0000	-5.6971	-5.4041
4762.0000	-3.4581	-7.1804
4763.0000	-0.2576	-7.3102
4764.0000	3.3751	-5.1811
4765.0000	6.8017	-1.1107
4766.0000	9.4096	3.7870
4767.0000	10.7378	8.0762
4768.0000	10.5676	10.5503
4769.0000	8.9578	10.5729
4770.0000	6.2183	8.3273
4771.0000	2.8310	4.7876
4772.0000	-0.6560	1.2031
4773.0000	-3.7380	-1.4301
4774.0000	-6.0418	-2.6908
4775.0000	-7.3718	-2.7942
4776.0000	-7.7136	-2.3529
4777.0000	-7.1983	-1.9439
4778.0000	-6.0478	-1.8192
4779.0000	-4.5164	-1.8930
4780.0000	-2.8441	-1.9282
4781.0000	-1.2317	-1.7957
4782.0000	0.1657	-1.5273
4783.0000	1.2327	-1.2361
4784.0000	1.8860	-0.9946
4785.0000	2.0746	-0.7931
4786.0000	1.7893	-0.5982
4787.0000	1.0810	-0.4169
4788.0000	0.0747	-0.3030
4789.0000	-1.0287	-0.2996
4790.0000	-1.9733	-0.3496
4791.0000	-2.4913	-0.3427
4792.0000	-2.3639	-0.1599
4793.0000	-1.4821	0.2308
4794.0000	0.1075	0.7396
4795.0000	2.1893	1.1966
4796.0000	4.4072	1.4444
4797.0000	6.3303	1.4117
4798.0000	7.5445	1.1326
4799.0000	7.7470	0.7109
4800.0000	6.8206	0.3018
4801.0000	4.8682	0.0154
4802.0000	2.1961	-0.0899
4803.0000	-0.7491	-0.0311
4804.0000	-3.4756	0.1120
4805.0000	-5.5501	0.2393
4806.0000	-6.6853	0.2819
4807.0000	-6.7902	0.2332
4808.0000	-5.9725	0.1353
4809.0000	-4.4977	0.0318
4810.0000	-2.7154	-0.0496
4811.0000	-0.9765	-0.1325
4812.0000	0.4413	-0.2273
4813.0000	1.3779	-0.3072
4814.0000	1.8031	-0.3246
4815.0000	1.7944	-0.2591
4816.0000	1.4936	-0.1512
4817.0000	1.0576	-0.0842
4818.0000	0.6172	-0.1218
4819.0000	0.2541	-0.2519
4820.0000	-0.0014	-0.4017
4821.0000	-0.1552	-0.4694
4822.0000	-0.2286	-0.4221
4823.0000	-0.2391	-0.3051
4824.0000	-0.1926	-0.1904
4825.0000	-0.0878	-0.1087
4826.0000	0.0696	-0.0241
4827.0000	0.2517	0.1268
4828.0000	0.3996	0.3663
4829.0000	0.4299	0.6389
4830.0000	0.2547	0.8341
4831.0000	-0.1859	0.8570
4832.0000	-0.8911	0.6851
4833.0000	-1.7769	0.3748
4834.0000	-2.6730	0.0210
4835.0000	-3.3481	-0.2937
4836.0000	-3.5556	-0.5252
4837.0000	-3.0947	-0.6662
4838.0000	-1.8683	-0.7274
4839.0000	0.0720	-0.7224
4840.0000	2.5133	-0.6606
4841.0000	5.1055	-0.5535
4842.0000	7.4183	-0.4047
4843.0000	9.0228	-0.2095
4844.0000	9.5784	0.0338
4845.0000	8.9070	0.3041
4846.0000	7.0363	0.5495
4847.0000	4.2027	0.7046
4848.0000	0.8113	0.7286
4849.0000	-2.6376	0.6292
4850.0000	-5.6418	0.4753
4851.0000	-7.7888	0.3186
4852.0000	-8.8276	0.1833
4853.0000	-8.7063	0.0498
4854.0000	-7.5695	-0.1078
4855.0000	-5.7171	-0.2729
4856.0000	-3.5363	-0.3766
4857.0000	-1.4216	-0.3455
4858.0000	0.3002	-0.1706
4859.0000	1.4230	0.0615
4860.0000	1.8852	0.2268
4861.0000	1.7621	0.2342
4862.0000	1.2311	0.0926
4863.0000	0.5202	-0.1027
4864.0000	-0.1461	-0.2462
