# IODP371 site U1508 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
0.0000	1.7000	1.5496
21.3200	1.6080	1.5553
37.3900	1.6020	1.5604
44.1600	1.6350	1.5627
56.5500	1.6710	1.5672
59.9300	1.6700	1.5685
69.3200	1.6930	1.5723
78.2100	1.7150	1.5760
87.0000	1.6290	1.5799
89.8800	1.7985	1.5813
91.8612	1.7820	1.5822
92.0136	1.7712	1.5822
92.1660	1.7594	1.5823
92.3184	1.7804	1.5824
92.4708	1.8051	1.5825
92.6232	1.8092	1.5825
92.7756	1.7989	1.5826
92.9280	1.7781	1.5827
93.0804	1.7816	1.5827
93.2328	1.7563	1.5828
93.3852	1.7356	1.5829
93.5376	1.7375	1.5830
93.6900	1.7397	1.5830
93.8424	1.7406	1.5831
93.9948	1.7563	1.5832
94.1472	1.7675	1.5832
94.2996	1.7731	1.5833
94.4520	1.7717	1.5834
94.6044	1.7544	1.5835
94.7568	1.7483	1.5835
94.9092	1.7441	1.5836
95.0616	1.7383	1.5837
95.2140	1.7419	1.5837
95.3664	1.7433	1.5838
95.5188	1.7420	1.5839
95.6712	1.7348	1.5840
95.8236	1.7075	1.5840
95.9760	1.7017	1.5841
96.1284	1.6986	1.5842
96.2808	1.7022	1.5843
96.4332	1.7110	1.5843
96.5856	1.7188	1.5844
96.7380	1.7164	1.5845
96.8904	1.7155	1.5845
97.0428	1.7174	1.5846
97.1952	1.7129	1.5847
97.3476	1.7060	1.5848
97.5000	1.7033	1.5848
97.6524	1.7043	1.5849
97.8048	1.7022	1.5850
97.9572	1.7890	1.5851
100.0908	1.7880	1.5861
100.2432	1.7611	1.5862
100.3956	1.7350	1.5862
100.5480	1.7096	1.5863
100.7004	1.7385	1.5864
100.8528	1.7860	1.5865
101.0052	1.7870	1.5865
101.1576	1.7880	1.5866
101.3100	1.7664	1.5867
101.4624	1.7493	1.5868
101.6148	1.7325	1.5868
101.7672	1.7160	1.5869
101.9196	1.6973	1.5870
102.0720	1.6998	1.5871
102.2244	1.7030	1.5871
102.3768	1.7158	1.5872
102.5292	1.7305	1.5873
103.9008	1.7694	1.5880
104.0532	1.7022	1.5880
104.2056	1.7021	1.5881
104.3580	1.6995	1.5882
104.5104	1.6992	1.5883
104.6628	1.6988	1.5883
104.8152	1.6962	1.5884
104.9676	1.7277	1.5885
105.1200	1.7375	1.5886
105.2724	1.7474	1.5886
105.4248	1.7330	1.5887
105.5772	1.7200	1.5888
105.7296	1.7073	1.5889
105.8820	1.6948	1.5890
106.0344	1.6953	1.5890
106.1868	1.6958	1.5891
106.3392	1.6952	1.5892
106.4916	1.6951	1.5893
106.6440	1.7800	1.5893
107.8632	1.7926	1.5900
108.0156	1.7771	1.5900
108.1680	1.7590	1.5901
108.3204	1.7781	1.5902
108.4728	1.7912	1.5903
108.6252	1.7970	1.5903
108.7776	1.7934	1.5904
108.9300	1.7801	1.5905
109.0824	1.7574	1.5906
109.2348	1.7354	1.5906
109.3872	1.7349	1.5907
109.5396	1.7344	1.5908
109.6920	1.7335	1.5909
109.8444	1.7331	1.5910
109.9968	1.7319	1.5910
110.1492	1.7500	1.5911
110.3016	1.7540	1.5912
110.4540	1.7461	1.5913
110.6064	1.7358	1.5913
110.7588	1.7522	1.5914
110.9112	1.7435	1.5915
111.0636	1.7234	1.5916
111.2160	1.7197	1.5917
111.3684	1.7290	1.5917
111.5208	1.7365	1.5918
111.6732	1.7390	1.5919
111.8256	1.7428	1.5920
111.9780	1.7479	1.5921
112.1304	1.7502	1.5921
112.2828	1.7551	1.5922
112.4352	1.7604	1.5923
112.5876	1.7628	1.5924
112.7400	1.7636	1.5924
112.8924	1.7641	1.5925
113.0448	1.7575	1.5926
113.1972	1.7492	1.5927
113.3496	1.7401	1.5928
113.5020	1.7427	1.5928
113.6544	1.7527	1.5929
113.8068	1.7591	1.5930
113.9592	1.7602	1.5931
114.1116	1.7603	1.5932
114.2640	1.7494	1.5932
114.4164	1.7412	1.5933
114.5688	1.7373	1.5934
114.7212	1.7367	1.5935
114.8736	1.7352	1.5936
115.0260	1.7292	1.5936
115.1784	1.7282	1.5937
115.3308	1.7277	1.5938
115.4832	1.7310	1.5939
115.6356	1.7346	1.5940
115.7880	1.7383	1.5940
115.9404	1.7409	1.5941
116.0928	1.7401	1.5942
116.2452	1.7409	1.5943
116.3976	1.7445	1.5944
116.5500	1.7526	1.5944
116.7024	1.7504	1.5945
116.8548	1.7540	1.5946
117.0072	1.7575	1.5947
117.1596	1.7655	1.5948
117.3120	1.7624	1.5948
117.4644	1.7546	1.5949
117.6168	1.7391	1.5950
117.7692	1.7401	1.5951
117.9216	1.7435	1.5952
118.0740	1.7410	1.5952
118.2264	1.7402	1.5953
118.3788	1.7425	1.5954
118.5312	1.7431	1.5955
118.6836	1.7450	1.5956
118.8360	1.7381	1.5956
118.9884	1.7408	1.5957
119.1408	1.7531	1.5958
119.2932	1.7633	1.5959
119.4456	1.7610	1.5960
119.5980	1.7469	1.5961
119.7504	1.7394	1.5961
119.9028	1.7273	1.5962
120.0552	1.7313	1.5963
120.2076	1.7188	1.5964
120.3600	1.7302	1.5965
120.5124	1.7449	1.5965
120.6648	1.7575	1.5966
120.8172	1.7625	1.5967
120.9696	1.7651	1.5968
121.1220	1.7385	1.5969
121.2744	1.7341	1.5970
121.4268	1.7277	1.5970
121.5792	1.7258	1.5971
121.7316	1.7281	1.5972
121.8840	1.7354	1.5973
122.0364	1.7471	1.5974
122.1888	1.7548	1.5974
122.3412	1.7567	1.5975
122.4936	1.7599	1.5976
122.6460	1.7572	1.5977
122.7984	1.7593	1.5978
122.9508	1.7628	1.5979
123.1032	1.7549	1.5979
123.2556	1.7431	1.5980
123.4080	1.7406	1.5981
123.5604	1.7408	1.5982
123.7128	1.7394	1.5983
123.8652	1.7357	1.5984
124.0176	1.7364	1.5984
124.1700	1.7414	1.5985
124.3224	1.7511	1.5986
124.4748	1.7621	1.5987
124.6272	1.7610	1.5988
124.7796	1.7599	1.5989
124.9320	1.7536	1.5989
125.0844	1.7536	1.5990
125.2368	1.7474	1.5991
125.3892	1.7486	1.5992
125.5416	1.7411	1.5993
125.6940	1.7352	1.5994
125.8464	1.7396	1.5994
125.9988	1.7432	1.5995
126.1512	1.7570	1.5996
126.3036	1.7669	1.5997
126.4560	1.7691	1.5998
126.6084	1.7668	1.5999
