# IODP371 site U1508 seismic and synthetic trace data (prefered model)
time_series_(ms)	synthetic_trace_data_(amplitude)	seismic_trace_data_(amplitude)
2000.0000	0.0699	0.0000
2004.0000	0.6068	0.0000
2008.0000	0.6482	0.0000
2012.0000	0.6885	0.0000
2016.0000	0.3514	0.0000
2020.0000	-0.1936	0.0000
2024.0000	-0.4379	0.0000
2028.0000	-0.5683	0.0000
2032.0000	-1.0787	0.0000
2036.0000	-1.4381	0.0000
2040.0000	-0.3094	0.0000
2044.0000	0.9502	0.0000
2048.0000	0.4290	0.0000
2052.0000	-0.1028	0.0000
2056.0000	0.3437	0.0000
2060.0000	0.3840	0.0000
2064.0000	0.2583	0.0000
2068.0000	0.1846	0.0369
2072.0000	-0.4803	0.0369
2076.0000	-0.8906	0.0000
2080.0000	-0.5311	0.0000
2084.0000	0.1476	0.0738
2088.0000	0.6358	0.0369
2092.0000	0.5432	0.0000
2096.0000	0.3837	0.0000
2100.0000	0.1955	-0.0369
2104.0000	-0.1452	-0.0369
2108.0000	0.4969	0.0000
2112.0000	1.3587	-0.0369
2116.0000	0.4445	0.0000
2120.0000	-1.1850	0.0000
2124.0000	-1.8772	-0.2951
2128.0000	-1.6386	-0.0369
2132.0000	-1.2396	-0.1107
2136.0000	-1.3188	-1.8811
2140.0000	-0.3757	-2.0656
2144.0000	2.9004	2.0656
2148.0000	4.6828	4.6844
2152.0000	2.8261	1.2172
2156.0000	0.9439	-2.3975
2160.0000	-0.2049	-1.4754
2164.0000	-1.5171	0.4057
2168.0000	-2.4378	0.2582
2172.0000	-2.9977	-0.4426
2176.0000	-2.2867	-0.4795
2180.0000	-0.4856	0.0000
2184.0000	0.8104	0.2582
2188.0000	1.3269	0.1844
2192.0000	1.2183	0.0738
2196.0000	0.6027	-0.2582
2200.0000	0.2557	-0.5533
2204.0000	0.2277	-0.0369
2208.0000	-0.0801	0.5164
2212.0000	-0.3210	0.1107
2216.0000	-0.1402	-0.2951
2220.0000	0.1934	0.0738
2224.0000	0.2622	0.4426
2228.0000	0.1552	0.2582
2232.0000	0.3411	-0.0738
2236.0000	0.4241	-0.4057
2240.0000	0.0600	-0.3320
2244.0000	-0.4146	0.1107
2248.0000	-0.9639	-0.0369
2252.0000	-1.2704	-0.5533
2256.0000	-0.1129	0.0369
2260.0000	1.6566	1.1434
2264.0000	0.9837	0.8115
2268.0000	-0.5486	-0.4426
2272.0000	-0.8184	-0.8484
2276.0000	-1.1062	-0.2582
2280.0000	-0.5245	0.2213
2284.0000	0.6562	0.1475
2288.0000	0.6770	-0.0369
2292.0000	-0.1608	0.0738
2296.0000	-0.5957	0.0738
2300.0000	-0.0969	-0.1475
2304.0000	0.2742	-0.1475
2308.0000	0.0898	0.1107
2312.0000	0.1157	0.1475
2316.0000	0.6129	-0.1107
2320.0000	0.8465	-0.1844
2324.0000	0.4149	-0.0369
2328.0000	-0.0138	0.0738
2332.0000	-0.2478	0.1107
2336.0000	-0.0996	0.0738
2340.0000	0.2669	0.0738
2344.0000	-0.1657	0.0000
2348.0000	-0.9618	-0.0738
2352.0000	-1.1057	-0.0369
2356.0000	-0.5539	0.0000
2360.0000	0.3833	-0.0369
2364.0000	0.8132	0.0000
2368.0000	0.2742	0.0369
2372.0000	-0.3426	0.0000
2376.0000	-0.1901	-0.0369
2380.0000	0.3106	0.1844
2384.0000	0.7724	0.4795
2388.0000	1.0315	0.1844
2392.0000	0.1229	-0.5533
2396.0000	-1.1468	-0.6639
2400.0000	-1.1256	-0.1475
2404.0000	-0.5521	0.1475
2408.0000	-0.0917	0.1844
2412.0000	0.5913	0.1475
2416.0000	1.0373	0.0369
2420.0000	1.4681	0.1107
