# IODP371 site U1508 synthetic model data
#Synthetic model 				
depth_m_bsf	velocity_m/s	density_Mg/m3	two-way-travel-time_(ms)	impedance
0.0000	1623.5000	1.5496	0.0000	2.5158
21.3200	1535.6400	1.5553	0.0270	2.3884
37.3900	1529.9100	1.5604	0.0480	2.3872
44.1600	1561.4250	1.5627	0.0567	2.4400
56.5500	1595.8050	1.5672	0.0724	2.5010
59.9300	1594.8500	1.5685	0.0767	2.5015
69.3200	1616.8150	1.5723	0.0884	2.5421
78.2100	1637.8250	1.5760	0.0993	2.5813
87.0000	1555.6950	1.5799	0.1103	2.4579
89.8800	1717.5675	1.5813	0.1138	2.7159
91.8612	1701.8100	1.5822	0.1161	2.6926
92.0136	1691.4960	1.5822	0.1163	2.6764
92.1660	1680.2270	1.5823	0.1165	2.6586
92.3184	1700.2820	1.5824	0.1167	2.6905
92.4708	1723.8705	1.5825	0.1168	2.7279
92.6232	1727.7860	1.5825	0.1170	2.7343
92.7756	1717.9495	1.5826	0.1172	2.7188
92.9280	1698.0855	1.5827	0.1174	2.6875
93.0804	1701.4280	1.5827	0.1176	2.6929
93.2328	1677.2665	1.5828	0.1177	2.6548
93.3852	1657.4980	1.5829	0.1179	2.6236
93.5376	1659.3125	1.5830	0.1181	2.6266
93.6900	1661.4135	1.5830	0.1183	2.6301
93.8424	1662.2730	1.5831	0.1185	2.6315
93.9948	1677.2665	1.5832	0.1187	2.6554
94.1472	1687.9625	1.5832	0.1188	2.6725
94.2996	1693.3105	1.5833	0.1190	2.6810
94.4520	1691.9735	1.5834	0.1192	2.6791
94.6044	1675.4520	1.5835	0.1194	2.6530
94.7568	1669.6265	1.5835	0.1196	2.6439
94.9092	1665.6155	1.5836	0.1197	2.6377
95.0616	1660.0765	1.5837	0.1199	2.6290
95.2140	1663.5145	1.5837	0.1201	2.6346
95.3664	1664.8515	1.5838	0.1203	2.6368
95.5188	1663.6100	1.5839	0.1205	2.6350
95.6712	1656.7340	1.5840	0.1207	2.6242
95.8236	1630.6625	1.5840	0.1208	2.5830
95.9760	1625.1235	1.5841	0.1210	2.5744
96.1284	1622.1630	1.5842	0.1212	2.5698
96.2808	1625.6010	1.5843	0.1214	2.5754
96.4332	1634.0050	1.5843	0.1216	2.5888
96.5856	1641.4540	1.5844	0.1218	2.6007
96.7380	1639.1620	1.5845	0.1220	2.5972
96.8904	1638.3025	1.5845	0.1221	2.5960
97.0428	1640.1170	1.5846	0.1223	2.5990
97.1952	1635.8195	1.5847	0.1225	2.5923
97.3476	1629.2300	1.5848	0.1227	2.5820
97.5000	1626.6515	1.5848	0.1229	2.5780
97.6524	1627.6065	1.5849	0.1231	2.5796
97.8048	1625.6010	1.5850	0.1233	2.5766
97.9572	1708.4950	1.5851	0.1235	2.7081
100.0908	1707.5400	1.5861	0.1260	2.7083
100.2432	1681.8505	1.5862	0.1261	2.6677
100.3956	1656.9250	1.5862	0.1263	2.6283
100.5480	1632.6680	1.5863	0.1265	2.5899
100.7004	1660.2675	1.5864	0.1267	2.6338
100.8528	1705.6300	1.5865	0.1269	2.7059
101.0052	1706.5850	1.5865	0.1270	2.7076
101.1576	1707.5400	1.5866	0.1272	2.7092
101.3100	1686.9120	1.5867	0.1274	2.6766
101.4624	1670.5815	1.5868	0.1276	2.6508
101.6148	1654.5375	1.5868	0.1278	2.6255
101.7672	1638.7800	1.5869	0.1280	2.6006
101.9196	1620.9215	1.5870	0.1281	2.5724
102.0720	1623.3090	1.5871	0.1283	2.5763
102.2244	1626.3650	1.5871	0.1285	2.5813
102.3768	1638.5890	1.5872	0.1287	2.6008
102.5292	1652.6275	1.5873	0.1289	2.6232
103.9008	1689.7770	1.5880	0.1305	2.6833
104.0532	1625.6010	1.5880	0.1307	2.5815
104.2056	1625.5055	1.5881	0.1309	2.5815
104.3580	1623.0225	1.5882	0.1311	2.5777
104.5104	1622.7360	1.5883	0.1313	2.5773
104.6628	1622.3540	1.5883	0.1315	2.5769
104.8152	1619.8710	1.5884	0.1317	2.5730
104.9676	1649.9535	1.5885	0.1318	2.6209
105.1200	1659.3125	1.5886	0.1320	2.6359
105.2724	1668.7670	1.5886	0.1322	2.6511
105.4248	1655.0150	1.5887	0.1324	2.6294
105.5772	1642.6000	1.5888	0.1326	2.6098
105.7296	1630.4715	1.5889	0.1328	2.5906
105.8820	1618.5340	1.5890	0.1329	2.5718
106.0344	1619.0115	1.5890	0.1331	2.5727
106.1868	1619.4890	1.5891	0.1333	2.5735
106.3392	1618.9160	1.5892	0.1335	2.5728
106.4916	1618.8205	1.5893	0.1337	2.5727
106.6440	1699.9000	1.5893	0.1339	2.7017
107.8632	1711.9330	1.5900	0.1353	2.7219
108.0156	1697.1305	1.5900	0.1355	2.6985
