# IODP371 site U1508 seismic and synthetic trace data 
#(Rejected model due to very poor fit to lithology, included to show constraint on the twt to the base of the borehole)
time_series_(ms)	synthetic_trace_data_(amplitude)	seismic_trace_data_(amplitude)
2000.0000	-0.0051	0.0000
2004.0000	-0.0347	0.0000
2008.0000	0.1308	0.0000
2012.0000	-0.1035	0.0000
2016.0000	-0.3592	0.0000
2020.0000	0.0110	0.0000
2024.0000	0.1959	0.0000
2028.0000	-0.1900	0.0000
2032.0000	-0.3934	0.0000
2036.0000	-0.1827	0.0000
2040.0000	0.1368	0.0000
2044.0000	0.3154	0.0000
2048.0000	0.2196	0.0000
2052.0000	0.0977	0.0000
2056.0000	0.1919	0.0000
2060.0000	0.2338	0.0000
2064.0000	0.1991	0.0000
2068.0000	0.0849	0.0369
2072.0000	-0.5549	0.0369
2076.0000	-1.0655	0.0000
2080.0000	-0.3461	0.0000
2084.0000	0.4144	0.0738
2088.0000	-0.0694	0.0369
2092.0000	-0.4427	0.0000
2096.0000	0.4966	0.0000
2100.0000	1.4078	-0.0369
2104.0000	0.9925	-0.0369
2108.0000	0.0226	0.0000
2112.0000	-0.4516	-0.0369
2116.0000	-0.4997	0.0000
2120.0000	-0.3508	0.0000
2124.0000	-0.2466	-0.2951
2128.0000	-0.6121	-0.0369
2132.0000	-1.1445	-0.1107
2136.0000	-1.6855	-1.8811
2140.0000	-1.3356	-2.0656
2144.0000	1.7928	2.0656
2148.0000	4.6862	4.6844
2152.0000	2.9646	1.2172
2156.0000	-0.5285	-2.3975
2160.0000	-1.8963	-1.4754
2164.0000	-1.8025	0.4057
2168.0000	-1.2590	0.2582
2172.0000	-0.6020	-0.4426
2176.0000	-0.1819	-0.4795
2180.0000	0.0846	0.0000
2184.0000	0.4205	0.2582
2188.0000	0.5900	0.1844
2192.0000	0.0742	0.0738
2196.0000	-0.4435	-0.2582
2200.0000	0.0982	-0.5533
2204.0000	0.9056	-0.0369
2208.0000	0.7710	0.5164
2212.0000	0.0893	0.1107
2216.0000	-0.2000	-0.2951
2220.0000	-0.2990	0.0738
2224.0000	-0.4606	0.4426
2228.0000	-0.2257	0.2582
2232.0000	-0.0215	-0.0738
2236.0000	-0.5072	-0.4057
2240.0000	-0.5472	-0.3320
2244.0000	0.5435	0.1107
2248.0000	0.7670	-0.0369
2252.0000	-0.2158	-0.5533
2256.0000	-0.2918	0.0369
2260.0000	0.3140	1.1434
2264.0000	0.3192	0.8115
2268.0000	0.0651	-0.4426
2272.0000	0.0970	-0.8484
2276.0000	0.1104	-0.2582
2280.0000	-0.2689	0.2213
2284.0000	-0.6383	0.1475
2288.0000	-0.5069	-0.0369
2292.0000	0.0084	0.0738
2296.0000	0.4967	0.0738
2300.0000	0.5395	-0.1475
2304.0000	0.0265	-0.1475
2308.0000	-0.5191	0.1107
2312.0000	-0.2204	0.1475
2316.0000	0.6301	-0.1107
2320.0000	0.7568	-0.1844
2324.0000	0.0779	-0.0369
2328.0000	-0.4007	0.0738
