# IODP371 site U1508 synthetic model data 
#(Rejected model due to very poor fit to lithology, included to show constraint on the twt to the base of the borehole)
depth_m_bsf	velocity_m/s	density_Mg/m3	two-way-travel-time_(ms)	impedance
0.0000	1870.0000	1.5496	0.0000	2.8978
21.3200	1768.8000	1.5553	0.0234	2.7511
37.3900	1762.2000	1.5604	0.0416	2.7497
44.1600	1798.5000	1.5627	0.0492	2.8105
56.5500	1838.1000	1.5672	0.0629	2.8807
59.9300	1837.0000	1.5685	0.0666	2.8814
69.3200	1862.3000	1.5723	0.0767	2.9280
78.2100	1886.5000	1.5760	0.0862	2.9732
87.0000	1791.9000	1.5799	0.0958	2.8311
89.8800	1978.3500	1.5813	0.0988	3.1283
91.8612	1960.2000	1.5822	0.1008	3.1014
92.0136	1948.3200	1.5822	0.1010	3.0827
92.1660	1935.3400	1.5823	0.1011	3.0623
92.3184	1958.4400	1.5824	0.1013	3.0990
92.4708	1985.6100	1.5825	0.1014	3.1421
92.6232	1990.1200	1.5825	0.1016	3.1494
92.7756	1978.7900	1.5826	0.1017	3.1316
92.9280	1955.9100	1.5827	0.1019	3.0956
93.0804	1959.7600	1.5827	0.1021	3.1018
93.2328	1931.9300	1.5828	0.1022	3.0579
93.3852	1909.1600	1.5829	0.1024	3.0220
93.5376	1911.2500	1.5830	0.1025	3.0254
93.6900	1913.6700	1.5830	0.1027	3.0294
93.8424	1914.6600	1.5831	0.1029	3.0311
93.9948	1931.9300	1.5832	0.1030	3.0586
94.1472	1944.2500	1.5832	0.1032	3.0782
94.2996	1950.4100	1.5833	0.1033	3.0881
94.4520	1948.8700	1.5834	0.1035	3.0858
94.6044	1929.8400	1.5835	0.1036	3.0558
94.7568	1923.1300	1.5835	0.1038	3.0453
94.9092	1918.5100	1.5836	0.1040	3.0382
95.0616	1912.1300	1.5837	0.1041	3.0282
95.2140	1916.0900	1.5837	0.1043	3.0346
95.3664	1917.6300	1.5838	0.1044	3.0372
95.5188	1916.2000	1.5839	0.1046	3.0351
95.6712	1908.2800	1.5840	0.1048	3.0227
95.8236	1878.2500	1.5840	0.1049	2.9752
95.9760	1871.8700	1.5841	0.1051	2.9653
96.1284	1868.4600	1.5842	0.1052	2.9600
96.2808	1872.4200	1.5843	0.1054	2.9664
96.4332	1882.1000	1.5843	0.1056	2.9819
96.5856	1890.6800	1.5844	0.1057	2.9956
96.7380	1888.0400	1.5845	0.1059	2.9916
96.8904	1887.0500	1.5845	0.1060	2.9901
97.0428	1889.1400	1.5846	0.1062	2.9936
97.1952	1884.1900	1.5847	0.1064	2.9859
97.3476	1876.6000	1.5848	0.1065	2.9740
97.5000	1873.6300	1.5848	0.1067	2.9694
97.6524	1874.7300	1.5849	0.1069	2.9713
97.8048	1872.4200	1.5850	0.1070	2.9678
97.9572	1967.9000	1.5851	0.1072	3.1192
100.0908	1966.8000	1.5861	0.1093	3.1195
100.2432	1937.2100	1.5862	0.1095	3.0727
100.3956	1908.5000	1.5862	0.1097	3.0273
100.5480	1880.5600	1.5863	0.1098	2.9832
100.7004	1912.3500	1.5864	0.1100	3.0337
100.8528	1964.6000	1.5865	0.1101	3.1168
101.0052	1965.7000	1.5865	0.1103	3.1187
101.1576	1966.8000	1.5866	0.1105	3.1206
101.3100	1943.0400	1.5867	0.1106	3.0830
101.4624	1924.2300	1.5868	0.1108	3.0533
101.6148	1905.7500	1.5868	0.1109	3.0241
101.7672	1887.6000	1.5869	0.1111	2.9955
101.9196	1867.0300	1.5870	0.1112	2.9630
102.0720	1869.7800	1.5871	0.1114	2.9675
102.2244	1873.3000	1.5871	0.1116	2.9732
102.3768	1887.3800	1.5872	0.1117	2.9957
102.5292	1903.5500	1.5873	0.1119	3.0215
103.9008	1946.3400	1.5880	0.1133	3.0907
104.0532	1872.4200	1.5880	0.1135	2.9735
104.2056	1872.3100	1.5881	0.1136	2.9734
104.3580	1869.4500	1.5882	0.1138	2.9690
104.5104	1869.1200	1.5883	0.1140	2.9687
104.6628	1868.6800	1.5883	0.1141	2.9681
104.8152	1865.8200	1.5884	0.1143	2.9637
104.9676	1900.4700	1.5885	0.1145	3.0189
105.1200	1911.2500	1.5886	0.1146	3.0362
105.2724	1922.1400	1.5886	0.1148	3.0536
105.4248	1906.3000	1.5887	0.1149	3.0286
105.5772	1892.0000	1.5888	0.1151	3.0060
105.7296	1878.0300	1.5889	0.1153	2.9840
105.8820	1864.2800	1.5890	0.1154	2.9623
106.0344	1864.8300	1.5890	0.1156	2.9633
106.1868	1865.3800	1.5891	0.1157	2.9643
106.3392	1864.7200	1.5892	0.1159	2.9634
106.4916	1864.6100	1.5893	0.1161	2.9633
106.6440	1958.0000	1.5893	0.1162	3.1119
107.8632	1971.8600	1.5900	0.1175	3.1352
108.0156	1954.8100	1.5900	0.1176	3.1082
108.1680	1934.9000	1.5901	0.1178	3.0767
108.3204	1955.9100	1.5902	0.1179	3.1103
108.4728	1970.3200	1.5903	0.1181	3.1333
108.6252	1976.7000	1.5903	0.1183	3.1436
108.7776	1972.7400	1.5904	0.1184	3.1375
108.9300	1958.1100	1.5905	0.1186	3.1144
109.0824	1933.1400	1.5906	0.1187	3.0748
109.2348	1908.9400	1.5906	0.1189	3.0364
109.3872	1908.3900	1.5907	0.1190	3.0357
109.5396	1907.8400	1.5908	0.1192	3.0350
109.6920	1906.8500	1.5909	0.1194	3.0336
109.8444	1906.4100	1.5910	0.1195	3.0330
109.9968	1905.0900	1.5910	0.1197	3.0311
110.1492	1925.0000	1.5911	0.1198	3.0629
110.3016	1929.4000	1.5912	0.1200	3.0700
110.4540	1920.7100	1.5913	0.1202	3.0564
110.6064	1909.3800	1.5913	0.1203	3.0385
110.7588	1927.4200	1.5914	0.1205	3.0673
110.9112	1917.8500	1.5915	0.1206	3.0523
111.0636	1895.7400	1.5916	0.1208	3.0172
111.2160	1891.6700	1.5917	0.1210	3.0109
111.3684	1901.9000	1.5917	0.1211	3.0273
111.5208	1910.1500	1.5918	0.1213	3.0406
111.6732	1912.9000	1.5919	0.1214	3.0451
111.8256	1917.0800	1.5920	0.1216	3.0519
111.9780	1922.6900	1.5921	0.1217	3.0610
112.1304	1925.2200	1.5921	0.1219	3.0652
