# IODP371 site U1509 synthetic model data
#Synthetic model				
depth_m_bsf	velocity_m/s	density_Mg/m3	two-way-travel-time_(ms)	impedance
0.0000	1660.0000	1.5600	0.0000	2.5896
0.1500	1671.6267	1.5684	0.0002	2.6217
1.0300	1656.3733	1.6425	0.0012	2.7206
10.0200	1647.3600	1.6812	0.0121	2.7695
20.4000	1642.0114	1.6873	0.0247	2.7706
30.1000	1664.5943	1.6346	0.0365	2.7210
33.1000	1684.3543	1.6377	0.0401	2.7584
49.0000	1706.3429	1.6637	0.0588	2.8388
51.8200	1733.0857	1.6727	0.0621	2.8990
52.0000	1750.0229	1.6734	0.0623	2.9285
60.0400	1782.2629	1.6477	0.0714	2.9366
69.1900	1806.1829	1.6221	0.0816	2.9298
70.7800	1802.6171	1.6088	0.0834	2.9000
78.3600	1848.5257	1.6064	0.0917	2.9695
80.9700	1867.0971	1.6227	0.0945	3.0297
81.8900	1867.0971	1.6258	0.0955	3.0356
87.9200	1869.4743	1.6240	0.1019	3.0360
89.0900	1855.5086	1.6247	0.1032	3.0146
97.0000	1849.4171	1.6209	0.1117	2.9976
99.9800	1833.3714	1.6084	0.1150	2.9489
103.0400	1788.6514	1.6280	0.1183	2.9120
109.8200	1752.9943	1.6247	0.1260	2.8481
112.9300	1755.6686	1.6160	0.1295	2.8371
116.0500	1758.0457	1.6169	0.1331	2.8426
119.1400	1751.2114	1.6265	0.1366	2.8483
121.7200	1740.6629	1.6347	0.1396	2.8454
125.9000	1770.5257	1.7071	0.1443	3.0225
129.5000	1794.7429	1.6963	0.1484	3.0444
131.8000	1802.3200	1.7220	0.1509	3.1036
135.3200	1800.8343	1.7305	0.1548	3.1163
139.1900	1796.2286	1.7745	0.1591	3.1873
141.1200	1804.2514	1.7736	0.1613	3.2000
143.6100	1810.1943	1.7495	0.1640	3.1669
144.8700	1789.3943	1.7396	0.1654	3.1129
146.0600	1771.5657	1.7373	0.1668	3.0778
148.4400	1770.3771	1.7446	0.1695	3.0885
154.3600	1776.3200	1.7561	0.1761	3.1194
157.3100	1801.4286	1.7614	0.1794	3.1731
160.6000	1816.2857	1.7678	0.1831	3.2107
164.1700	1815.2457	1.7975	0.1870	3.2629
165.4600	1823.5657	1.8130	0.1884	3.3062
173.8000	1837.9771	1.8134	0.1975	3.3330
176.5500	1864.7200	1.8117	0.2005	3.3784
177.1100	1867.2457	1.8120	0.2011	3.3834
183.5100	1855.6571	1.8206	0.2080	3.3785
185.4800	1868.1371	1.8270	0.2101	3.4132
193.8600	1878.5371	1.8196	0.2190	3.4183
193.9600	1874.6743	1.8184	0.2192	3.4089
196.0500	1883.8857	1.7926	0.2214	3.3770
203.2500	1870.6629	1.7717	0.2291	3.3142
204.3100	1880.0229	1.7541	0.2302	3.2978
207.4000	1898.5943	1.7692	0.2335	3.3591
210.2800	1882.1029	1.7703	0.2365	3.3319
212.4200	1893.9886	1.7814	0.2388	3.3739
213.6400	1909.7371	1.7682	0.2400	3.3769
221.3700	1902.1600	1.7645	0.2482	3.3563
223.9400	1911.3714	1.7606	0.2509	3.3652
227.4600	1908.5486	1.7933	0.2545	3.4226
229.2300	1929.2000	1.8020	0.2564	3.4765
231.2900	1942.1257	1.8174	0.2585	3.5297
233.2400	1939.6000	1.8356	0.2605	3.5603
241.4600	1940.9371	1.8146	0.2690	3.5219
244.3800	1927.1200	1.8394	0.2720	3.5448
247.0900	1927.4171	1.8480	0.2748	3.5618
250.2100	1936.7771	1.8442	0.2781	3.5718
255.5400	1911.3714	1.8185	0.2836	3.4758
258.3900	1901.7143	1.8037	0.2866	3.4301
260.2500	1907.9543	1.8103	0.2885	3.4540
263.1200	1923.1086	1.8097	0.2915	3.4803
265.7400	1936.3314	1.7643	0.2943	3.4162
269.4300	1921.6229	1.7681	0.2981	3.3976
272.3000	1902.3086	1.7660	0.3011	3.3595
275.2900	1892.8000	1.7500	0.3042	3.3124
279.1200	1904.2400	1.7077	0.3083	3.2518
282.2300	1908.9943	1.6937	0.3115	3.2333
285.2600	1896.2171	1.7310	0.3147	3.2824
289.7900	1912.4114	1.7869	0.3195	3.4173
290.8000	1930.8343	1.8315	0.3205	3.5362
291.5500	1952.5257	1.8482	0.3213	3.6087
292.8200	1975.2571	1.8488	0.3226	3.6518
294.2900	1989.9657	1.8300	0.3241	3.6416
295.0700	2002.5943	1.8119	0.3249	3.6285
296.4700	2005.4171	1.7802	0.3263	3.5699
298.2500	1989.0743	1.7589	0.3280	3.4985
300.1800	1978.6743	1.7262	0.3300	3.4155
300.9800	1971.2457	1.7184	0.3308	3.3874
302.9900	1970.6514	1.7314	0.3328	3.4119
304.2000	1971.8400	1.7450	0.3341	3.4409
307.9300	1943.6114	1.7721	0.3379	3.4443
311.1200	1924.1486	1.8428	0.3412	3.5458
313.3600	1930.2400	1.8321	0.3435	3.5364
317.9500	1927.8629	1.7880	0.3483	3.4471
320.9000	1927.2686	1.7699	0.3513	3.4110
323.9800	1906.9143	1.7630	0.3545	3.3619
327.5600	1861.7486	1.8162	0.3583	3.3813
330.4800	1861.4514	1.8158	0.3615	3.3801
333.6200	1868.8800	1.7084	0.3648	3.1928
336.0900	1857.7371	1.7158	0.3675	3.1875
337.2400	1856.4000	1.7351	0.3687	3.2210
340.1300	1845.8514	1.7531	0.3718	3.2361
343.1900	1859.0743	1.7783	0.3751	3.3061
346.9300	1869.3257	1.7524	0.3792	3.2757
349.7100	1876.1600	1.7675	0.3821	3.3161
356.5600	1877.3486	1.8389	0.3894	3.4523
359.1300	1882.5486	1.8250	0.3922	3.4357
361.0600	1898.0000	1.8036	0.3942	3.4233
366.0900	1897.8514	1.7512	0.3995	3.3235
368.7700	1875.8629	1.7589	0.4023	3.2995
375.1300	1883.5886	1.7944	0.4091	3.3800
378.3800	1869.3257	1.8093	0.4126	3.3822
380.5500	1858.1829	1.7617	0.4149	3.2736
381.0900	1861.4514	1.7579	0.4155	3.2723
384.3600	1875.2686	1.8417	0.4190	3.4537
385.5400	1961.8857	1.8684	0.4202	3.6656
385.8400	2030.5257	1.8739	0.4205	3.8050
386.9400	2084.4571	1.8937	0.4216	3.9473
387.6200	2112.0914	1.9082	0.4222	4.0304
388.3900	2153.5429	1.9289	0.4230	4.1540
388.9400	2193.8057	1.9454	0.4235	4.2679
389.7600	2221.2914	1.9704	0.4242	4.3769
390.0900	2169.7371	1.9800	0.4245	4.2961
391.0500	2148.0457	2.0037	0.4254	4.3040
391.7300	2149.8286	2.0162	0.4260	4.3345
392.0800	2213.1200	2.0233	0.4263	4.4779
392.9400	2236.0000	2.0463	0.4271	4.5756
394.7500	2283.5429	2.0937	0.4287	4.7810
395.8500	2318.4571	2.1036	0.4297	4.8772
397.2800	2383.8286	2.1082	0.4309	5.0257
403.6100	2440.5829	2.1448	0.4361	5.2347
403.9700	2484.4114	2.1360	0.4364	5.3068
406.3900	2486.1943	2.0565	0.4384	5.1128
413.2100	2454.5486	2.0262	0.4439	4.9734
413.9100	2389.1771	2.0042	0.4445	4.7883
414.3100	2328.1143	1.9899	0.4448	4.6326
415.2900	2292.7543	1.9580	0.4457	4.4892
415.8200	2292.1600	1.9472	0.4461	4.4634
416.6600	2224.4114	1.9425	0.4469	4.3208
417.2900	2174.1943	1.9455	0.4474	4.2299
418.1500	2158.4457	1.9533	0.4482	4.2161
422.6400	2133.6343	1.9349	0.4524	4.1283
423.3400	2106.1486	1.9113	0.4531	4.0255
424.8600	2048.8000	1.8507	0.4546	3.7916
432.2200	1955.6457	1.8093	0.4619	3.5383
435.4800	1933.5086	1.7685	0.4653	3.4194
442.9400	1897.2571	1.7657	0.4730	3.3499
444.3400	1890.1257	1.7795	0.4745	3.3635
445.5300	1889.2343	1.7880	0.4758	3.3779
445.9700	1893.6914	1.7895	0.4762	3.3887
447.1900	1897.4057	1.7904	0.4775	3.3971
447.9800	1904.9829	1.7903	0.4784	3.4106
452.0900	1906.1714	1.7908	0.4827	3.4135
453.1400	1913.4514	1.7847	0.4838	3.4150
454.5900	1912.2629	1.7708	0.4853	3.3862
455.9200	1914.9371	1.7539	0.4867	3.3586
456.7100	1914.0457	1.7429	0.4875	3.3360
457.4300	1906.7657	1.7327	0.4883	3.3039
458.6200	1899.4857	1.7166	0.4895	3.2606
461.1400	1898.0000	1.6941	0.4922	3.2154
462.9700	1895.0286	1.6934	0.4941	3.2090
463.8700	1898.5943	1.6944	0.4950	3.2169
464.0100	1899.1886	1.6944	0.4952	3.2180
472.8300	1902.4571	1.7361	0.5045	3.3029
473.5500	1909.7371	1.7431	0.5052	3.3289
474.7600	1914.6400	1.7397	0.5065	3.3308
475.6300	1911.2229	1.7218	0.5074	3.2907
477.4600	1918.9486	1.6973	0.5093	3.2570
478.5000	1923.5543	1.7203	0.5104	3.3092
479.0400	1930.9829	1.7335	0.5110	3.3473
480.6300	1933.5086	1.7455	0.5126	3.3750
482.3900	1939.0057	1.7674	0.5144	3.4270
482.7700	1948.5143	1.7686	0.5148	3.4462
484.3400	1946.8800	1.7469	0.5164	3.4010
485.4700	1941.2343	1.7245	0.5176	3.3476
489.8800	1940.7886	1.7289	0.5221	3.3555
493.3600	1927.4171	1.7357	0.5257	3.3453
499.8600	1921.0286	1.7309	0.5325	3.3250
500.9200	1908.6971	1.7214	0.5336	3.2856
509.1000	1896.2171	1.7363	0.5422	3.2923
510.5700	1890.8686	1.7436	0.5437	3.2970
514.8900	1879.2800	1.7441	0.5483	3.2776
