# IODP371 site U1510 seismic and synthetic trace data (prefered model)
#Synthetic seismogram and seismic trace data.		
time_series_(ms)	synthetic_trace_data_(amplitude)	seismic_trace_data_(amplitude)
1510.0000	-1.3586	0.0242
1511.0000	-1.5751	0.0313
1512.0000	-1.5006	0.0320
1513.0000	-1.1594	0.0289
1514.0000	-0.6482	0.0258
1515.0000	-0.1060	0.0243
1516.0000	0.3283	0.0222
1517.0000	0.5544	0.0159
1518.0000	0.5446	0.0037
1519.0000	0.3503	-0.0125
1520.0000	0.0795	-0.0258
1521.0000	-0.1412	-0.0328
1522.0000	-0.2058	-0.0347
1523.0000	-0.0609	-0.0352
1524.0000	0.2750	-0.0371
1525.0000	0.7221	-0.0382
1526.0000	1.1660	-0.0337
1527.0000	1.4881	-0.0208
1528.0000	1.5897	-0.0026
1529.0000	1.4283	0.0148
1530.0000	1.0252	0.0212
1531.0000	0.4576	0.0191
1532.0000	-0.1642	0.0157
1533.0000	-0.7164	0.0177
1534.0000	-1.0949	0.0253
1535.0000	-1.2398	0.0328
1536.0000	-1.1481	0.0337
1537.0000	-0.8715	0.0265
1538.0000	-0.4997	0.0157
1539.0000	-0.1398	0.0058
1540.0000	0.1198	-0.0007
1541.0000	0.2368	-0.0096
1542.0000	0.2250	-0.0260
1543.0000	0.1459	-0.0490
1544.0000	0.0855	-0.0710
1545.0000	0.1215	-0.0837
1546.0000	0.2912	-0.0834
1547.0000	0.5716	-0.0725
1548.0000	0.8814	-0.0556
1549.0000	1.1071	-0.0356
1550.0000	1.1398	-0.0110
1551.0000	0.9107	0.0164
1552.0000	0.4165	0.0456
1553.0000	-0.2703	0.0737
1554.0000	-1.0099	0.0974
1555.0000	-1.6374	0.1140
1556.0000	-2.0100	0.1220
1557.0000	-2.0434	0.1170
1558.0000	-1.7243	0.0980
1559.0000	-1.1064	0.0678
1560.0000	-0.3232	0.0318
1561.0000	0.4617	0.0011
1562.0000	1.0994	-0.0214
1563.0000	1.4868	-0.0392
1564.0000	1.5800	-0.0592
1565.0000	1.3831	-0.0844
1566.0000	0.9620	-0.1110
1567.0000	0.4310	-0.1270
1568.0000	-0.0831	-0.1230
1569.0000	-0.4688	-0.0987
1570.0000	-0.6497	-0.0501
1571.0000	-0.5959	0.0001
1572.0000	-0.3288	0.0396
1573.0000	0.0810	0.0638
1574.0000	0.5247	0.0755
1575.0000	0.8810	0.0794
1576.0000	1.0439	0.0780
1577.0000	0.9498	0.0704
1578.0000	0.5999	0.0551
1579.0000	0.0664	0.0346
1580.0000	-0.5266	0.0067
1581.0000	-1.0243	-0.0178
1582.0000	-1.2820	-0.0338
1583.0000	-1.2112	-0.0399
1584.0000	-0.8139	-0.0383
1585.0000	-0.1915	-0.0314
1586.0000	0.4795	-0.0211
1587.0000	1.0017	-0.0083
1588.0000	1.2148	0.0072
1589.0000	1.0490	0.0265
1590.0000	0.5507	0.0491
1591.0000	-0.1310	0.0719
1592.0000	-0.7919	0.0845
1593.0000	-1.2360	0.0766
1594.0000	-1.3367	0.0450
1595.0000	-1.0783	-0.0031
1596.0000	-0.5493	-0.0523
1597.0000	0.0956	-0.0841
