# IODP371 site U1510 seismic and synthetic trace data (constructed using ROP data).
#Synthetic seismogram and seismic trace data.		
time_series_(ms)	synthetic_trace_data_(amplitude)	seismic_trace_data_(amplitude)
1514.0000	-0.0206	0.1979
1515.0000	-0.0262	0.3281
1516.0000	-0.0278	0.5110
1517.0000	-0.0282	0.6779
1518.0000	-0.0297	0.7487
1519.0000	-0.0306	0.6577
1520.0000	-0.0270	0.3766
1521.0000	-0.0166	-0.0722
1522.0000	-0.0021	-0.6148
1523.0000	0.0118	-1.1442
1524.0000	0.0170	-1.5535
1525.0000	0.0153	-1.7681
1526.0000	0.0126	-1.7602
1527.0000	0.0142	-1.5482
1528.0000	0.0202	-1.1848
1529.0000	0.0262	-0.7365
1530.0000	0.0270	-0.2643
1531.0000	0.0212	0.1835
1532.0000	0.0126	0.5753
1533.0000	0.0047	0.8883
1534.0000	-0.0005	1.0991
1535.0000	-0.0076	1.1830
1536.0000	-0.0208	1.1204
1537.0000	-0.0392	0.9102
1538.0000	-0.0568	0.5812
1539.0000	-0.0670	0.1945
1540.0000	-0.0667	-0.1665
1541.0000	-0.0580	-0.4199
1542.0000	-0.0445	-0.5135
1543.0000	-0.0285	-0.4435
1544.0000	-0.0088	-0.2552
1545.0000	0.0131	-0.0242
1546.0000	0.0365	0.1755
1547.0000	0.0590	0.2990
1548.0000	0.0779	0.3476
1549.0000	0.0912	0.3648
1550.0000	0.0976	0.4121
1551.0000	0.0936	0.5361
1552.0000	0.0784	0.7409
1553.0000	0.0542	0.9756
1554.0000	0.0254	1.1516
1555.0000	0.0009	1.1744
1556.0000	-0.0171	0.9817
1557.0000	-0.0314	0.5687
1558.0000	-0.0474	-0.0081
1559.0000	-0.0675	-0.6482
1560.0000	-0.0888	-1.2265
1561.0000	-0.1016	-1.6332
1562.0000	-0.0984	-1.8055
1563.0000	-0.0790	-1.7364
1564.0000	-0.0401	-1.4627
1565.0000	0.0001	-1.0445
1566.0000	0.0317	-0.5430
1567.0000	0.0510	-0.0190
1568.0000	0.0604	0.4753
1569.0000	0.0635	0.8971
1570.0000	0.0624	1.2072
1571.0000	0.0563	1.3660
