# IODP371 site U1510 synthetic model data constructed using ROP data
#Synthetic model				
depth_m_bsf	velocity_m/s	density_Mg/m3	two-way-travel-time_(ms)	impedance
1.7300	1706.1200	1.5858	0.0022	2.7056
3.0400	1729.3250	1.5539	0.0037	2.6873
4.5300	1649.7650	1.5177	0.0055	2.5038
5.1700	1709.4350	1.5329	0.0062	2.6203
7.2600	1752.5300	1.6031	0.0087	2.8094
7.9000	1759.1600	1.6065	0.0094	2.8260
8.7400	1679.6000	1.6109	0.0104	2.7057
10.1800	1729.3250	1.6186	0.0121	2.7990
11.7100	1710.5400	1.6049	0.0138	2.7452
12.9100	1690.6500	1.5932	0.0152	2.6935
13.8900	1734.8500	1.6028	0.0164	2.7807
15.1700	1697.2800	1.6190	0.0179	2.7479
16.1400	1709.4350	1.5991	0.0190	2.7335
17.9300	1699.4900	1.6146	0.0211	2.7439
19.4900	1707.2250	1.6280	0.0230	2.7794
20.3300	1756.9500	1.6339	0.0239	2.8706
21.8000	1724.9050	1.6437	0.0256	2.8352
23.6800	1754.7400	1.6795	0.0278	2.9471
24.3100	1796.7300	1.6924	0.0285	3.0408
26.1300	1798.9400	1.7291	0.0305	3.1106
27.6800	1842.0350	1.7479	0.0322	3.2196
29.3000	1836.5100	1.7625	0.0340	3.2369
30.1400	1739.2700	1.7382	0.0349	3.0233
32.0400	1712.7500	1.6833	0.0371	2.8831
33.1400	1727.1150	1.6836	0.0384	2.9078
33.8400	1735.9550	1.6840	0.0392	2.9233
35.4700	1708.3300	1.6633	0.0411	2.8414
37.1700	1728.2200	1.6901	0.0431	2.9209
38.6000	1726.0100	1.7132	0.0447	2.9570
39.8100	1709.4350	1.6852	0.0461	2.8807
41.3300	1711.6450	1.6475	0.0479	2.8199
42.7800	1748.1100	1.6721	0.0496	2.9230
43.6400	1751.4250	1.6905	0.0506	2.9608
44.8300	1756.9500	1.6676	0.0519	2.9298
46.5100	1761.3700	1.6549	0.0538	2.9149
47.5400	1741.4800	1.6474	0.0550	2.8689
49.5200	1755.8450	1.6560	0.0573	2.9076
50.9100	1801.1500	1.6624	0.0588	2.9943
52.5600	1786.7850	1.6684	0.0607	2.9811
53.1100	1760.2650	1.6704	0.0613	2.9403
54.7800	1771.3150	1.6996	0.0632	3.0106
55.8000	1728.2200	1.6805	0.0644	2.9042
57.6300	1737.0600	1.6461	0.0665	2.8594
58.4000	1744.7950	1.6618	0.0674	2.8994
60.5900	1840.9300	1.7135	0.0698	3.1544
61.1500	1903.9150	1.7113	0.0704	3.2582
61.8100	1882.9200	1.7022	0.0711	3.2051
62.3200	1764.6850	1.6952	0.0717	2.9915
63.3200	1770.2100	1.7420	0.0728	3.0837
64.9700	1766.8950	1.7386	0.0747	3.0720
66.2900	1812.2000	1.7356	0.0761	3.1453
67.6600	1834.3000	1.6817	0.0776	3.0848
69.2900	1843.1400	1.6177	0.0794	2.9817
70.4000	1824.3550	1.5859	0.0806	2.8933
71.0700	1818.8300	1.5677	0.0813	2.8514
73.3100	1834.3000	1.7237	0.0838	3.1617
74.3900	1783.4700	1.6887	0.0850	3.0117
75.7800	1763.5800	1.6436	0.0866	2.8987
77.2500	1771.3150	1.6396	0.0882	2.9043
78.7300	1747.0050	1.6361	0.0899	2.8583
80.0500	1788.9950	1.6292	0.0914	2.9146
81.6200	1784.5750	1.6207	0.0932	2.8922
82.6200	1745.9000	1.6427	0.0943	2.8680
83.9900	1774.6300	1.6450	0.0958	2.9193
85.4200	1770.2100	1.6450	0.0975	2.9120
86.8400	1754.7400	1.6356	0.0991	2.8700
88.2500	1759.1600	1.6238	0.1007	2.8566
89.6700	1763.5800	1.6184	0.1023	2.8541
91.0800	1781.2600	1.6159	0.1039	2.8784
92.1100	1752.5300	1.6142	0.1050	2.8289
93.6100	1765.7900	1.6028	0.1068	2.8302
94.9700	1752.5300	1.5919	0.1083	2.7899
96.4400	1777.9450	1.6015	0.1100	2.8473
97.8900	1770.2100	1.6150	0.1116	2.8589
99.3500	1764.6850	1.6160	0.1133	2.8518
100.7200	1771.3150	1.6137	0.1148	2.8584
