# IODP371 site U1510 seismic and synthetic trace data 
#(Rejected model due to poorer fit to lithology, included to show constraint on the twt to the base of the borehole)
time_series_(ms)	seismic_trace_data_(amplitude)	synthetic_trace_data_(amplitude)
1516.0000	0.0222	0.7463
1517.0000	0.0159	0.4649
1518.0000	0.0037	0.2465
1519.0000	-0.0125	0.1030
1520.0000	-0.0258	0.0202
1521.0000	-0.0328	-0.0234
1522.0000	-0.0347	-0.0439
1523.0000	-0.0352	-0.0487
1524.0000	-0.0371	-0.0410
1525.0000	-0.0382	-0.0255
1526.0000	-0.0337	-0.0113
1527.0000	-0.0208	-0.0080
1528.0000	-0.0026	-0.0209
1529.0000	0.0148	-0.0464
1530.0000	0.0212	-0.0738
1531.0000	0.0191	-0.0916
1532.0000	0.0157	-0.0955
1533.0000	0.0177	-0.0922
1534.0000	0.0253	-0.0962
1535.0000	0.0328	-0.1192
1536.0000	0.0337	-0.1582
1537.0000	0.0265	-0.1906
1538.0000	0.0157	-0.1796
1539.0000	0.0058	-0.0909
1540.0000	-0.0007	0.0851
1541.0000	-0.0096	0.3164
1542.0000	-0.0260	0.5303
1543.0000	-0.0490	0.6338
1544.0000	-0.0710	0.5460
1545.0000	-0.0837	0.2360
1546.0000	-0.0834	-0.2514
1547.0000	-0.0725	-0.7960
1548.0000	-0.0556	-1.2333
1549.0000	-0.0356	-1.4088
1550.0000	-0.0110	-1.2348
1551.0000	0.0164	-0.7242
1552.0000	0.0456	0.0049
1553.0000	0.0737	0.7590
1554.0000	0.0974	1.3216
1555.0000	0.1140	1.5249
1556.0000	0.1220	1.3034
1557.0000	0.1170	0.7118
1558.0000	0.0980	-0.0971
1559.0000	0.0678	-0.9100
1560.0000	0.0318	-1.5183
1561.0000	0.0011	-1.7858
1562.0000	-0.0214	-1.6827
1563.0000	-0.0392	-1.2776
1564.0000	-0.0592	-0.7009
1565.0000	-0.0844	-0.0979
1566.0000	-0.1110	0.4066
1567.0000	-0.1270	0.7421
1568.0000	-0.1230	0.9100
1569.0000	-0.0987	0.9655
1570.0000	-0.0501	0.9839
1571.0000	0.0001	1.0193
1572.0000	0.0396	1.0854
1573.0000	0.0638	1.1516
1574.0000	0.0755	1.1609
1575.0000	0.0794	1.0628
1576.0000	0.0780	0.8385
1577.0000	0.0704	0.5114
1578.0000	0.0551	0.1389
1579.0000	0.0346	-0.2068
1580.0000	0.0067	-0.4650
1581.0000	-0.0178	-0.6071
1582.0000	-0.0338	-0.6405
1583.0000	-0.0399	-0.6010
1584.0000	-0.0383	-0.5310
1585.0000	-0.0314	-0.4578
1586.0000	-0.0211	-0.3834
1587.0000	-0.0083	-0.2899
1588.0000	0.0072	-0.1565
1589.0000	0.0265	0.0197
1590.0000	0.0491	0.2115
1591.0000	0.0719	0.3652
1592.0000	0.0845	0.4185
1593.0000	0.0766	0.3258
1594.0000	0.0450	0.0837
1595.0000	-0.0031	-0.2593
1596.0000	-0.0523	-0.6144
1597.0000	-0.0841	-0.8811
1598.0000	-0.0858	-0.9758
1599.0000	-0.0630	-0.8541
1600.0000	-0.0208	-0.5333
1601.0000	0.0014	-0.0874
1602.0000	-0.0091	0.3749
1603.0000	-0.0384	0.7393
1604.0000	-0.0546	0.9157
1605.0000	-0.0273	0.8609
1606.0000	0.0508	0.5906
1607.0000	0.1550	0.1780
1608.0000	0.2340	-0.2629
1609.0000	0.2650	-0.6085
1610.0000	0.1510	-0.7612
1611.0000	-0.0525	-0.6806
1612.0000	-0.2790	-0.3984
1613.0000	-0.4580	-0.0133
1614.0000	-0.5500	0.3425
1615.0000	-0.5600	0.5492
1616.0000	-0.5240	0.5432
1617.0000	-0.4800	0.3392
1618.0000	-0.4450	0.0286
1619.0000	-0.4040	-0.2597
1620.0000	-0.3150	-0.4137
1621.0000	-0.1600	-0.3837
1622.0000	0.0414	-0.1995
1623.0000	0.2430	0.0443
1624.0000	0.4150	0.2324
1625.0000	0.5480	0.2821
1626.0000	0.6380	0.1795
1627.0000	0.6720	-0.0162
1628.0000	0.6420	-0.2030
1629.0000	0.5670	-0.2852
1630.0000	0.5450	-0.2189
1631.0000	0.6330	-0.0298
1632.0000	0.8180	0.2033
1633.0000	1.0100	0.3832
1634.0000	1.1200	0.4319
1635.0000	1.1300	0.3175
1636.0000	1.1200	0.0547
1637.0000	1.1600	-0.3152
1638.0000	1.2300	-0.7442
1639.0000	1.1900	-1.1837
1640.0000	0.9570	-1.5724
1641.0000	0.6090	-1.8225
1642.0000	0.3930	-1.8203
1643.0000	0.4780	-1.4769
1644.0000	0.6700	-0.7909
1645.0000	0.3460	0.1072
1646.0000	-1.2100	0.9332
1647.0000	-4.2500	1.3040
1648.0000	-8.1700	0.8704
1649.0000	-11.6000	-0.5034
1650.0000	-13.2000	-2.6051
1651.0000	-12.1000	-4.8619
1652.0000	-8.5400	-6.4585
1653.0000	-3.6500	-6.5846
1654.0000	1.2800	-4.7418
1655.0000	5.3600	-1.0009
1656.0000	8.4000	3.9330
1657.0000	10.7000	8.8879
1658.0000	12.5000	12.5621
1659.0000	13.7000	13.9298
1660.0000	13.8000	12.5851
1661.0000	12.3000	8.8870
1662.0000	9.1600	3.8442
1663.0000	4.8900	-1.2170
1664.0000	0.3260	-5.0772
1665.0000	-3.6100	-6.9776
1666.0000	-6.2500	-6.8065
1667.0000	-7.4000	-5.0668
1668.0000	-7.2600	-2.6298
1669.0000	-6.3300	-0.3989
1670.0000	-5.1800	0.9805
1671.0000	-4.2500	1.2696
1672.0000	-3.7300	0.6351
