# IODP371 site U1510 synthetic model data 
#(Rejected model due to poorer fit to lithology, included to show constraint on the twt to the base of the borehole)
#(Model contains ~25% chert (high Vp rock) below 150 m depth)				
depth_m_bsf	velocity_m/s	density_Mg/m3	two-way-travel-time_(ms)	impedance
0.7300	1706.1200	1.5858	0.0009	2.7056
2.0400	1729.3250	1.5539	0.0025	2.6873
3.5300	1649.7650	1.5177	0.0042	2.5038
4.1700	1709.4350	1.5329	0.0050	2.6203
6.2600	1752.5300	1.6031	0.0074	2.8094
6.9000	1759.1600	1.6065	0.0081	2.8260
7.7400	1679.6000	1.6109	0.0091	2.7057
9.1800	1729.3250	1.6186	0.0108	2.7990
10.7100	1710.5400	1.6049	0.0126	2.7452
11.9100	1690.6500	1.5932	0.0140	2.6935
12.8900	1734.8500	1.6028	0.0151	2.7807
14.1700	1697.2800	1.6190	0.0166	2.7479
15.1400	1709.4350	1.5991	0.0178	2.7335
16.9300	1699.4900	1.6146	0.0199	2.7439
18.4900	1707.2250	1.6280	0.0217	2.7794
19.3300	1756.9500	1.6339	0.0227	2.8706
20.8000	1724.9050	1.6437	0.0243	2.8352
22.6800	1754.7400	1.6795	0.0265	2.9471
23.3100	1796.7300	1.6924	0.0272	3.0408
25.1300	1798.9400	1.7291	0.0292	3.1106
26.6800	1842.0350	1.7479	0.0309	3.2196
28.3000	1836.5100	1.7625	0.0327	3.2369
29.1400	1739.2700	1.7382	0.0336	3.0233
31.0400	1712.7500	1.6833	0.0358	2.8831
32.1400	1727.1150	1.6836	0.0371	2.9078
32.8400	1735.9550	1.6840	0.0379	2.9233
34.4700	1708.3300	1.6633	0.0398	2.8414
36.1700	1728.2200	1.6901	0.0418	2.9209
37.6000	1726.0100	1.7132	0.0435	2.9570
38.8100	1709.4350	1.6852	0.0449	2.8807
40.3300	1711.6450	1.6475	0.0466	2.8199
41.7800	1748.1100	1.6721	0.0483	2.9230
42.6400	1751.4250	1.6905	0.0493	2.9608
43.8300	1756.9500	1.6676	0.0507	2.9298
45.5100	1761.3700	1.6549	0.0526	2.9149
46.5400	1741.4800	1.6474	0.0537	2.8689
48.5200	1755.8450	1.6560	0.0560	2.9076
49.9100	1801.1500	1.6624	0.0576	2.9943
51.5600	1786.7850	1.6684	0.0594	2.9811
52.1100	1760.2650	1.6704	0.0600	2.9403
53.7800	1771.3150	1.6996	0.0619	3.0106
54.8000	1728.2200	1.6805	0.0631	2.9042
56.6300	1737.0600	1.6461	0.0652	2.8594
57.4000	1744.7950	1.6618	0.0661	2.8994
59.5900	1840.9300	1.7135	0.0685	3.1544
60.1500	1903.9150	1.7113	0.0691	3.2582
60.8100	1882.9200	1.7022	0.0698	3.2051
61.3200	1764.6850	1.6952	0.0704	2.9915
62.3200	1770.2100	1.7420	0.0715	3.0837
63.9700	1766.8950	1.7386	0.0734	3.0720
65.2900	1812.2000	1.7356	0.0749	3.1453
66.6600	1834.3000	1.6817	0.0764	3.0848
68.2900	1843.1400	1.6177	0.0781	2.9817
69.4000	1824.3550	1.5859	0.0793	2.8933
70.0700	1818.8300	1.5677	0.0801	2.8514
72.3100	1834.3000	1.7237	0.0825	3.1617
73.3900	1783.4700	1.6887	0.0837	3.0117
74.7800	1763.5800	1.6436	0.0853	2.8987
76.2500	1771.3150	1.6396	0.0870	2.9043
77.7300	1747.0050	1.6361	0.0886	2.8583
79.0500	1788.9950	1.6292	0.0901	2.9146
