# IODP371 site U1510 Rate of penetration (ROP) and Weight on bit (WOB) data. Data are only available for below 150 m in the borehole.
depth_(m)	ROP_(m/s)	WOB_(kN)
151.4910	0.0075	166.2630
151.5410	0.0075	162.3990
151.5910	0.0075	162.3990
151.6410	0.0075	162.3990
151.6910	0.0075	162.3990
151.7410	0.0075	163.8120
151.7910	0.0074	164.7840
151.8410	0.0074	165.3800
151.8910	0.0074	165.3800
151.9410	0.0074	165.3800
151.9910	0.0074	165.8130
152.0410	0.0073	167.6970
152.0910	0.0073	168.5970
152.1410	0.0072	172.1730
152.1910	0.0072	186.0990
152.2410	0.0072	186.8140
152.2910	0.0072	195.1020
152.3410	0.0072	198.7930
152.3910	0.0072	201.1120
152.4410	0.0072	204.0520
152.4910	0.0072	204.3560
152.5410	0.0071	204.4010
152.5910	0.0071	204.4450
152.6410	0.0071	204.8310
152.6910	0.0071	208.7110
152.7410	0.0071	208.8490
152.7910	0.0071	208.9880
152.8410	0.0071	209.0650
152.8910	0.0071	209.0650
152.9410	0.0071	209.0650
152.9910	0.0071	209.1450
153.0410	0.0071	212.6150
153.0910	0.0071	213.2880
153.1410	0.0071	213.3410
153.1910	0.0071	214.3850
153.2410	0.0071	214.3850
153.2910	0.0071	214.3850
153.3410	0.0071	214.3850
153.3910	0.0071	210.3640
153.4410	0.0044	204.2210
153.4910	0.0044	202.9560
153.5410	0.0044	201.6920
153.5910	0.0044	199.2620
153.6410	0.0044	199.2620
153.6910	0.0044	199.2620
153.7410	0.0044	199.2620
153.7910	0.0044	199.2620
153.8410	0.0044	199.2620
153.8910	0.0044	199.2620
153.9410	0.0044	199.2620
153.9910	0.0044	204.0720
154.0410	0.0044	208.4100
154.0910	0.0044	211.8080
154.1410	0.0044	212.0430
154.1910	0.0044	212.2780
154.2410	0.0044	219.7340
154.2910	0.0044	220.0360
154.3410	0.0044	220.3380
154.3910	0.0044	220.7620
154.4410	0.0044	221.5010
154.4910	0.0044	221.5010
154.5410	0.0044	221.5010
154.5910	0.0044	221.5010
154.6410	0.0045	219.6280
154.6910	0.0046	213.6660
154.7410	0.0050	209.4450
154.7910	0.0050	209.4450
154.8410	0.0050	209.4450
154.8910	0.0050	209.4450
154.9410	0.0050	209.4450
154.9910	0.0050	209.4450
155.0410	0.0050	209.4450
155.0910	0.0050	209.1990
155.1410	0.0050	207.9310
155.1910	0.0050	207.7100
155.2410	0.0050	207.7100
155.2910	0.0050	207.7100
155.3410	0.0050	207.7100
155.3910	0.0050	208.6500
155.4410	0.0050	209.0380
155.4910	0.0050	209.4260
155.5410	0.0050	209.4570
155.5910	0.0050	209.4570
155.6410	0.0050	209.4570
155.6910	0.0050	209.4570
155.7410	0.0053	206.6990
155.7910	0.0053	204.5420
155.8410	0.0053	202.3840
155.8910	0.0053	200.2270
155.9410	0.0053	197.9540
155.9910	0.0053	197.8750
