# IODP371 site U1511 physical property data
#Raw data	(drilled section where Vp and Rho are estimated, 80-200 m)	
depth_m_bsf	velocity_m/s	density_Mg/m3
0.5500	1565.0000	1.2454
2.0500	1456.0000	1.2454
3.3800	1466.0000	1.2448
4.8500	1468.0000	1.2411
6.4000	1463.0000	1.2361
7.2200	1453.0000	1.2345
20.4400	1472.0000	1.2791
21.7200	1477.0000	1.3141
22.5800	1471.0000	1.3363
30.0600	1468.0000	1.3986
39.9400	1470.0000	1.4086
41.6700	1459.0000	1.4165
42.6400	1482.0000	1.4190
44.0000	1497.0000	1.4070
45.5800	1476.0000	1.3883
47.0800	1488.0000	1.3832
58.8000	1455.0000	1.3603
60.0300	1472.0000	1.3519
61.6600	1473.0000	1.3430
63.0600	1475.0000	1.3488
64.6100	1473.0000	1.3636
65.3800	1471.0000	1.3722
68.3000	1473.0000	1.4073
69.9600	1484.0000	1.4213
71.1700	1478.0000	1.4257
73.0000	1485.0000	1.4234
74.1500	1483.0000	1.4212
75.5200	1478.0000	1.4179
76.9600	1485.0000	1.4136
80.0000	1525.0000	1.4080
85.0000	1530.0000	1.4094
90.0000	1535.0000	1.4112
95.0000	1540.0000	1.4134
100.0000	1545.0000	1.4160
105.0000	1550.0000	1.4190
110.0000	1555.0000	1.4224
115.0000	1560.0000	1.4262
120.0000	1565.0000	1.4304
125.0000	1570.0000	1.4350
130.0000	1575.0000	1.4400
135.0000	1580.0000	1.4454
140.0000	1585.0000	1.4512
145.0000	1590.0000	1.4574
150.0000	1595.0000	1.4640
155.0000	1600.0000	1.4710
160.0000	1605.0000	1.4784
165.0000	1610.0000	1.4862
170.0000	1615.0000	1.4944
175.0000	1620.0000	1.5030
180.0000	1625.0000	1.5120
185.0000	1630.0000	1.5214
190.0000	1650.0000	1.5312
195.0000	1660.0000	1.5414
200.0000	1670.0000	1.5520
203.5600	1602.0000	1.4886
204.8100	1626.0000	1.4729
205.7200	1605.0000	1.4622
206.3400	1614.0000	1.4555
207.0800	1616.0000	1.4483
208.3400	1615.0000	1.4374
208.7300	1618.0000	1.4343
221.3500	1649.0000	1.4037
222.3500	1590.0000	1.3927
222.9900	1599.0000	1.3835
225.0700	1600.0000	1.3488
226.8500	1603.0000	1.3225
227.6300	1609.0000	1.3131
228.8200	1592.0000	1.3085
230.6000	1604.0000	1.3101
231.0900	1572.0000	1.3070
232.5500	1582.0000	1.3078
233.8700	1586.0000	1.3166
235.3500	1584.0000	1.3334
236.5200	1579.0000	1.3485
237.8300	1572.0000	1.3659
239.3900	1590.0000	1.3901
240.2300	1618.0000	1.4047
