# IODP371 site U1511 synthetic model data
#Synthetic model	(drilled section where Vp and Rho are estimated, 80-200 m)			
depth_m_bsf	velocity_m/s	density_Mg/m3		two-way-travel-time_(ms)	impedance
0.5500	1611.9500	1.2454		-0.0003	2.0075
2.0500	1499.6800	1.2454		0.0016	1.8677
3.3800	1509.9800	1.2448		0.0033	1.8796
4.8500	1512.0400	1.2411		0.0053	1.8765
6.4000	1506.8900	1.2361		0.0073	1.8627
7.2200	1496.5900	1.2345		0.0084	1.8475
20.4400	1516.1600	1.2791		0.0260	1.9393
21.7200	1521.3100	1.3141		0.0277	1.9991
22.5800	1515.1300	1.3363		0.0288	2.0246
30.0600	1512.0400	1.3986		0.0387	2.1147
39.9400	1514.1000	1.4086		0.0517	2.1327
41.6700	1502.7700	1.4165		0.0540	2.1287
42.6400	1526.4600	1.4190		0.0553	2.1660
44.0000	1541.9100	1.4070		0.0571	2.1695
45.5800	1520.2800	1.3883		0.0591	2.1105
47.0800	1532.6400	1.3832		0.0611	2.1199
58.8000	1498.6500	1.3603		0.0766	2.0386
60.0300	1516.1600	1.3519		0.0782	2.0497
61.6600	1517.1900	1.3430		0.0804	2.0376
63.0600	1519.2500	1.3488		0.0822	2.0491
64.6100	1517.1900	1.3636		0.0842	2.0689
65.3800	1515.1300	1.3722		0.0853	2.0790
68.3000	1517.1900	1.4073		0.0891	2.1351
69.9600	1528.5200	1.4213		0.0913	2.1724
71.1700	1522.3400	1.4257		0.0929	2.1704
73.0000	1529.5500	1.4234		0.0953	2.1772
74.1500	1527.4900	1.4212		0.0968	2.1709
75.5200	1522.3400	1.4179		0.0986	2.1585
76.9600	1529.5500	1.4136		0.1005	2.1621
80.0000	1530.5500	1.4080		0.1044	2.1550
85.0000	1532.2000	1.4094		0.1110	2.1595
90.0000	1534.5000	1.4112		0.1175	2.1655
95.0000	1537.4500	1.4134		0.1240	2.1730
100.0000	1541.0500	1.4160		0.1305	2.1821
105.0000	1545.3000	1.4190		0.1370	2.1928
